Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 1, 1, 0, 0, 1, 0, 1, 0
0.000011880000000, 0, 0, 1, 0, 1, 0, 1, 0
0.000033200000000, 1, 0, 1, 0, 1, 0, 1, 0
0.000054520000000, 0, 1, 1, 0, 1, 0, 1, 0
0.000075880000000, 1, 1, 1, 0, 1, 0, 1, 0
0.000097200000000, 0, 0, 0, 1, 1, 0, 1, 0
0.000118520000000, 1, 0, 0, 1, 1, 0, 1, 0
0.000139840000000, 0, 1, 0, 1, 1, 0, 1, 0
0.000161200000000, 1, 1, 0, 1, 1, 0, 1, 0
0.000182520000000, 0, 0, 1, 1, 1, 0, 1, 0
0.000203840000000, 1, 0, 1, 1, 1, 0, 1, 0
0.000225200000000, 0, 1, 1, 1, 1, 0, 1, 0
0.000246520000000, 1, 1, 1, 1, 1, 0, 1, 0
0.000267840000000, 0, 0, 0, 0, 0, 1, 1, 0
0.000289200000000, 1, 0, 0, 0, 0, 1, 1, 0
0.000310520000000, 0, 1, 0, 0, 0, 1, 1, 0
0.000331840000000, 1, 1, 0, 0, 0, 1, 1, 0
0.000353200000000, 0, 0, 1, 0, 0, 1, 1, 0
0.000374520000000, 1, 0, 1, 0, 0, 1, 1, 0
0.000395840000000, 0, 1, 1, 0, 0, 1, 1, 0
0.000417200000000, 1, 1, 1, 0, 0, 1, 1, 0
0.000438520000000, 0, 0, 0, 1, 0, 1, 1, 0
0.000459840000000, 1, 0, 0, 1, 0, 1, 1, 0
0.000481200000000, 0, 1, 0, 1, 0, 1, 1, 0
0.000502520000000, 1, 1, 0, 1, 0, 1, 1, 0
0.000523840000000, 0, 0, 1, 1, 0, 1, 1, 0
0.000545200000000, 1, 0, 1, 1, 0, 1, 1, 0
0.000566520000000, 0, 1, 1, 1, 0, 1, 1, 0
0.000587840000000, 1, 1, 1, 1, 0, 1, 1, 0
0.000609200000000, 0, 0, 0, 0, 1, 1, 1, 0
0.000630520000000, 1, 0, 0, 0, 1, 1, 1, 0
0.000651840000000, 0, 1, 0, 0, 1, 1, 1, 0
0.000673200000000, 1, 1, 0, 0, 1, 1, 1, 0
0.000694520000000, 0, 0, 1, 0, 1, 1, 1, 0
0.000715840000000, 1, 0, 1, 0, 1, 1, 1, 0
0.000737200000000, 0, 1, 1, 0, 1, 1, 1, 0
0.000758520000000, 1, 1, 1, 0, 1, 1, 1, 0
0.000779840000000, 0, 0, 0, 1, 1, 1, 1, 0
0.000801200000000, 1, 0, 0, 1, 1, 1, 1, 0
0.000822520000000, 0, 1, 0, 1, 1, 1, 1, 0
0.000843840000000, 1, 1, 0, 1, 1, 1, 1, 0
0.000865200000000, 0, 0, 1, 1, 1, 1, 1, 0
0.000886520000000, 1, 0, 1, 1, 1, 1, 1, 0
0.000907840000000, 0, 1, 1, 1, 1, 1, 1, 0
0.000929200000000, 1, 1, 1, 1, 1, 1, 1, 0
0.000950520000000, 0, 0, 0, 0, 0, 0, 0, 1
0.000971840000000, 1, 0, 0, 0, 0, 0, 0, 1
0.000993200000000, 0, 1, 0, 0, 0, 0, 0, 1
0.001014520000000, 1, 1, 0, 0, 0, 0, 0, 1
0.001035840000000, 0, 0, 1, 0, 0, 0, 0, 1
0.001057200000000, 1, 0, 1, 0, 0, 0, 0, 1
0.001078520000000, 0, 1, 1, 0, 0, 0, 0, 1
0.001099840000000, 1, 1, 1, 0, 0, 0, 0, 1
0.001121200000000, 0, 0, 0, 1, 0, 0, 0, 1
0.001142520000000, 1, 0, 0, 1, 0, 0, 0, 1
0.001163840000000, 0, 1, 0, 1, 0, 0, 0, 1
0.001185200000000, 1, 1, 0, 1, 0, 0, 0, 1
0.001206520000000, 0, 0, 1, 1, 0, 0, 0, 1
0.001227840000000, 1, 0, 1, 1, 0, 0, 0, 1
0.001249200000000, 0, 1, 1, 1, 0, 0, 0, 1
0.001270520000000, 1, 1, 1, 1, 0, 0, 0, 1
0.001291840000000, 0, 0, 0, 0, 1, 0, 0, 1
0.001313200000000, 1, 0, 0, 0, 1, 0, 0, 1
0.001334520000000, 0, 1, 0, 0, 1, 0, 0, 1
0.001355840000000, 1, 1, 0, 0, 1, 0, 0, 1
0.001377200000000, 0, 0, 1, 0, 1, 0, 0, 1
0.001398520000000, 1, 0, 1, 0, 1, 0, 0, 1
0.001419840000000, 0, 1, 1, 0, 1, 0, 0, 1
0.001441200000000, 1, 1, 1, 0, 1, 0, 0, 1
0.001462520000000, 0, 0, 0, 1, 1, 0, 0, 1
0.001483840000000, 1, 0, 0, 1, 1, 0, 0, 1
0.001505200000000, 0, 1, 0, 1, 1, 0, 0, 1
0.001526520000000, 1, 1, 0, 1, 1, 0, 0, 1
0.001547840000000, 0, 0, 1, 1, 1, 0, 0, 1
0.001569200000000, 1, 0, 1, 1, 1, 0, 0, 1
0.001590520000000, 0, 1, 1, 1, 1, 0, 0, 1
0.001611840000000, 1, 1, 1, 1, 1, 0, 0, 1
0.001633200000000, 0, 0, 0, 0, 0, 1, 0, 1
0.001654520000000, 1, 0, 0, 0, 0, 1, 0, 1
0.001675840000000, 0, 1, 0, 0, 0, 1, 0, 1
0.001697160000000, 1, 1, 0, 0, 0, 1, 0, 1
0.001718520000000, 0, 0, 1, 0, 0, 1, 0, 1
0.001739840000000, 1, 0, 1, 0, 0, 1, 0, 1
0.001761160000000, 0, 1, 1, 0, 0, 1, 0, 1
0.001782520000000, 1, 1, 1, 0, 0, 1, 0, 1
0.001803840000000, 0, 0, 0, 1, 0, 1, 0, 1
0.001825160000000, 1, 0, 0, 1, 0, 1, 0, 1
0.001846520000000, 0, 1, 0, 1, 0, 1, 0, 1
0.001867840000000, 1, 1, 0, 1, 0, 1, 0, 1
0.001889160000000, 0, 0, 1, 1, 0, 1, 0, 1
0.001910520000000, 1, 0, 1, 1, 0, 1, 0, 1
0.001931840000000, 0, 1, 1, 1, 0, 1, 0, 1
0.001953160000000, 1, 1, 1, 1, 0, 1, 0, 1
0.001974520000000, 0, 0, 0, 0, 1, 1, 0, 1
0.001995840000000, 1, 0, 0, 0, 1, 1, 0, 1
0.002017160000000, 0, 1, 0, 0, 1, 1, 0, 1
0.002038520000000, 1, 1, 0, 0, 1, 1, 0, 1
0.002059840000000, 0, 0, 1, 0, 1, 1, 0, 1
0.002081160000000, 1, 0, 1, 0, 1, 1, 0, 1
0.002102520000000, 0, 1, 1, 0, 1, 1, 0, 1
0.002123840000000, 1, 1, 1, 0, 1, 1, 0, 1
0.002145160000000, 0, 0, 0, 1, 1, 1, 0, 1
0.002166520000000, 1, 0, 0, 1, 1, 1, 0, 1
0.002187840000000, 0, 1, 0, 1, 1, 1, 0, 1
0.002209160000000, 1, 1, 0, 1, 1, 1, 0, 1
0.002230520000000, 0, 0, 1, 1, 1, 1, 0, 1
0.002251840000000, 1, 0, 1, 1, 1, 1, 0, 1
0.002273160000000, 0, 1, 1, 1, 1, 1, 0, 1
0.002294520000000, 1, 1, 1, 1, 1, 1, 0, 1
0.002315840000000, 0, 0, 0, 0, 0, 0, 1, 1
0.002337160000000, 1, 0, 0, 0, 0, 0, 1, 1
