Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 1, 0, 0, 0, 0, 0, 0, 0
0.000020440000000, 0, 0, 0, 1, 0, 0, 0, 0
0.000020480000000, 0, 1, 0, 1, 0, 0, 0, 0
0.000041800000000, 0, 1, 1, 0, 0, 1, 0, 0
0.000063120000000, 1, 1, 1, 1, 0, 0, 1, 0
0.000084440000000, 0, 0, 0, 0, 0, 0, 0, 1
0.000105800000000, 0, 0, 0, 0, 1, 1, 0, 1
0.000127120000000, 1, 0, 0, 1, 1, 0, 1, 1
0.000148440000000, 1, 0, 1, 0, 1, 1, 1, 1
0.000169800000000, 1, 1, 1, 1, 1, 1, 1, 1
0.000191120000000, 1, 0, 1, 0, 1, 1, 1, 1
0.000212440000000, 1, 0, 0, 1, 1, 0, 1, 1
0.000233800000000, 0, 0, 0, 0, 1, 1, 0, 1
0.000255120000000, 0, 0, 0, 0, 0, 0, 0, 1
0.000276440000000, 1, 1, 1, 1, 0, 0, 1, 0
0.000297800000000, 0, 1, 1, 0, 0, 1, 0, 0
0.000319120000000, 0, 1, 0, 1, 0, 0, 0, 0
0.000340440000000, 1, 0, 0, 0, 0, 0, 0, 0
0.000361800000000, 0, 1, 0, 1, 0, 0, 0, 0
0.000383120000000, 0, 1, 1, 0, 0, 1, 0, 0
0.000404440000000, 1, 1, 1, 1, 0, 0, 1, 0
0.000425800000000, 0, 0, 0, 0, 0, 0, 0, 1
0.000447120000000, 0, 0, 0, 0, 1, 1, 0, 1
0.000468440000000, 1, 0, 0, 1, 1, 0, 1, 1
0.000489800000000, 1, 0, 1, 0, 1, 1, 1, 1
0.000511120000000, 1, 1, 1, 1, 1, 1, 1, 1
0.000532440000000, 1, 0, 1, 0, 1, 1, 1, 1
0.000553800000000, 1, 0, 0, 1, 1, 0, 1, 1
0.000575120000000, 0, 0, 0, 0, 1, 1, 0, 1
0.000596440000000, 0, 0, 0, 0, 0, 0, 0, 1
0.000617800000000, 1, 1, 1, 1, 0, 0, 1, 0
0.000639120000000, 0, 1, 1, 0, 0, 1, 0, 0
0.000660440000000, 0, 1, 0, 1, 0, 0, 0, 0
0.000681800000000, 1, 0, 0, 0, 0, 0, 0, 0
0.000703120000000, 0, 1, 0, 1, 0, 0, 0, 0
0.000724440000000, 0, 1, 1, 0, 0, 1, 0, 0
0.000745800000000, 1, 1, 1, 1, 0, 0, 1, 0
0.000767120000000, 0, 0, 0, 0, 0, 0, 0, 1
0.000788440000000, 0, 0, 0, 0, 1, 1, 0, 1
0.000809800000000, 1, 0, 0, 1, 1, 0, 1, 1
0.000831120000000, 1, 0, 1, 0, 1, 1, 1, 1
0.000852440000000, 1, 1, 1, 1, 1, 1, 1, 1
0.000873800000000, 1, 0, 1, 0, 1, 1, 1, 1
0.000895120000000, 1, 0, 0, 1, 1, 0, 1, 1
0.000916440000000, 0, 0, 0, 0, 1, 1, 0, 1
0.000937800000000, 0, 0, 0, 0, 0, 0, 0, 1
0.000959120000000, 1, 1, 1, 1, 0, 0, 1, 0
0.000980440000000, 0, 1, 1, 0, 0, 1, 0, 0
0.001001800000000, 0, 1, 0, 1, 0, 0, 0, 0
0.001023120000000, 1, 0, 0, 0, 0, 0, 0, 0
0.001044440000000, 0, 1, 0, 1, 0, 0, 0, 0
0.001065800000000, 0, 1, 1, 0, 0, 1, 0, 0
0.001087120000000, 1, 1, 1, 1, 0, 0, 1, 0
0.001108440000000, 0, 0, 0, 0, 0, 0, 0, 1
0.001129800000000, 0, 0, 0, 0, 1, 1, 0, 1
0.001151120000000, 1, 0, 0, 1, 1, 0, 1, 1
0.001172440000000, 1, 0, 1, 0, 1, 1, 1, 1
0.001193800000000, 1, 1, 1, 1, 1, 1, 1, 1
0.001215120000000, 1, 0, 1, 0, 1, 1, 1, 1
0.001236440000000, 1, 0, 0, 1, 1, 0, 1, 1
0.001257800000000, 0, 0, 0, 0, 1, 1, 0, 1
0.001279120000000, 0, 0, 0, 0, 0, 0, 0, 1
0.001300440000000, 1, 1, 1, 1, 0, 0, 1, 0
0.001321800000000, 0, 1, 1, 0, 0, 1, 0, 0
0.001343120000000, 0, 1, 0, 1, 0, 0, 0, 0
0.001364440000000, 1, 0, 0, 0, 0, 0, 0, 0
0.001385800000000, 0, 1, 0, 1, 0, 0, 0, 0
0.001407120000000, 0, 1, 1, 0, 0, 1, 0, 0
0.001428440000000, 1, 1, 1, 1, 0, 0, 1, 0
0.001449760000000, 0, 0, 0, 0, 0, 0, 1, 1
0.001449800000000, 0, 0, 0, 0, 0, 0, 0, 1
0.001471120000000, 0, 0, 0, 0, 1, 1, 0, 1
0.001492440000000, 1, 0, 0, 1, 1, 0, 1, 1
0.001513760000000, 1, 0, 0, 0, 1, 1, 1, 1
0.001513800000000, 1, 0, 1, 0, 1, 1, 1, 1
0.001535120000000, 1, 1, 1, 1, 1, 1, 1, 1
0.001556440000000, 1, 0, 1, 0, 1, 1, 1, 1
0.001577760000000, 1, 0, 0, 1, 1, 0, 1, 1
0.001599120000000, 0, 0, 0, 0, 1, 1, 0, 1
0.001620440000000, 0, 0, 0, 0, 0, 0, 0, 1
0.001641760000000, 1, 1, 1, 1, 0, 0, 1, 0
0.001663120000000, 0, 1, 1, 0, 0, 1, 0, 0
0.001684440000000, 0, 1, 0, 1, 0, 0, 0, 0
0.001705760000000, 1, 0, 0, 0, 0, 0, 0, 0
0.001727120000000, 0, 1, 0, 1, 0, 0, 0, 0
0.001748440000000, 0, 1, 1, 0, 0, 1, 0, 0
0.001769760000000, 1, 1, 1, 1, 0, 0, 1, 0
0.001791120000000, 0, 0, 0, 0, 0, 0, 0, 1
0.001812440000000, 0, 0, 0, 0, 1, 1, 0, 1
0.001833760000000, 1, 0, 0, 1, 1, 0, 1, 1
0.001855120000000, 1, 0, 1, 0, 1, 1, 1, 1
0.001876440000000, 1, 1, 1, 1, 1, 1, 1, 1
0.001897760000000, 1, 0, 1, 0, 1, 1, 1, 1
0.001919120000000, 1, 0, 0, 1, 1, 0, 1, 1
0.001940440000000, 0, 0, 0, 0, 1, 1, 0, 1
0.001961760000000, 0, 0, 0, 0, 0, 0, 0, 1
0.001983120000000, 1, 1, 1, 1, 0, 0, 1, 0
0.002004440000000, 0, 1, 1, 0, 0, 1, 0, 0
0.002025760000000, 0, 1, 0, 1, 0, 0, 0, 0
0.002047120000000, 1, 0, 0, 0, 0, 0, 0, 0
0.002068440000000, 0, 1, 0, 1, 0, 0, 0, 0
0.002089760000000, 0, 1, 1, 0, 0, 1, 0, 0
0.002111120000000, 1, 1, 1, 1, 0, 0, 1, 0
0.002132440000000, 0, 0, 0, 0, 0, 0, 0, 1
0.002153760000000, 0, 0, 0, 0, 1, 1, 0, 1
0.002175120000000, 1, 0, 0, 1, 1, 0, 1, 1
0.002196440000000, 1, 0, 1, 0, 1, 1, 1, 1
0.002217760000000, 1, 1, 1, 1, 1, 1, 1, 1
0.002239120000000, 1, 0, 1, 0, 1, 1, 1, 1
0.002260440000000, 1, 0, 0, 1, 1, 0, 1, 1
0.002281760000000, 0, 0, 0, 0, 1, 1, 0, 1
0.002303120000000, 0, 0, 0, 0, 0, 0, 0, 1
0.002324440000000, 1, 1, 1, 1, 0, 0, 1, 0
0.002345760000000, 0, 1, 1, 0, 0, 1, 0, 0
0.002367120000000, 0, 1, 0, 1, 0, 0, 0, 0
0.002388440000000, 1, 0, 0, 0, 0, 0, 0, 0
0.002409760000000, 0, 1, 0, 1, 0, 0, 0, 0
0.002431120000000, 0, 1, 1, 0, 0, 1, 0, 0
0.002452440000000, 1, 1, 1, 1, 0, 0, 1, 0
0.002473760000000, 0, 0, 0, 0, 0, 0, 0, 1
0.002495120000000, 0, 0, 0, 0, 1, 1, 0, 1
0.002516440000000, 1, 0, 0, 1, 1, 0, 1, 1
0.002537760000000, 1, 0, 1, 0, 1, 1, 1, 1
0.002559120000000, 1, 1, 1, 1, 1, 1, 1, 1
0.002580440000000, 1, 0, 1, 0, 1, 1, 1, 1
0.002601760000000, 1, 0, 0, 1, 1, 0, 1, 1
0.002623120000000, 0, 0, 0, 0, 1, 1, 0, 1
0.002644440000000, 0, 0, 0, 0, 0, 0, 0, 1
0.002665760000000, 1, 1, 1, 1, 0, 0, 1, 0
0.002687120000000, 0, 1, 1, 0, 0, 1, 0, 0
0.002708440000000, 0, 1, 0, 1, 0, 0, 0, 0
0.002729760000000, 1, 0, 0, 0, 0, 0, 0, 0
0.002751120000000, 0, 1, 0, 1, 0, 0, 0, 0
0.002772440000000, 0, 1, 1, 0, 0, 1, 0, 0
0.002793760000000, 1, 1, 1, 1, 0, 0, 1, 0
0.002815120000000, 0, 0, 0, 0, 0, 0, 0, 1
0.002836440000000, 0, 0, 0, 0, 1, 1, 0, 1
0.002857760000000, 1, 0, 0, 1, 1, 0, 1, 1
0.002879080000000, 1, 0, 0, 0, 1, 0, 1, 1
0.002879120000000, 1, 0, 1, 0, 1, 1, 1, 1
0.002900440000000, 1, 1, 1, 1, 1, 1, 1, 1
0.002921760000000, 1, 0, 1, 0, 1, 1, 1, 1
0.002943080000000, 1, 0, 0, 1, 1, 0, 1, 1
0.002964440000000, 0, 0, 0, 0, 1, 1, 0, 1
0.002985760000000, 0, 0, 0, 0, 0, 0, 0, 1
0.003007080000000, 0, 0, 0, 1, 0, 0, 0, 0
0.003007120000000, 1, 1, 1, 1, 0, 0, 1, 0
0.003028440000000, 0, 1, 1, 0, 0, 1, 0, 0
0.003049760000000, 0, 1, 0, 1, 0, 0, 0, 0
0.003071080000000, 0, 0, 0, 0, 0, 0, 0, 0
0.003071120000000, 1, 0, 0, 0, 0, 0, 0, 0
0.003092440000000, 0, 1, 0, 1, 0, 0, 0, 0
0.003113760000000, 0, 1, 1, 0, 0, 1, 0, 0
0.003135080000000, 1, 1, 1, 1, 0, 0, 1, 0
0.003156440000000, 0, 0, 0, 0, 0, 0, 0, 1
0.003177760000000, 0, 0, 0, 0, 1, 1, 0, 1
0.003199080000000, 1, 0, 0, 1, 1, 0, 1, 1
0.003220440000000, 1, 0, 1, 0, 1, 1, 1, 1
0.003241760000000, 1, 1, 1, 1, 1, 1, 1, 1
0.003263080000000, 1, 0, 1, 0, 1, 1, 1, 1
0.003284440000000, 1, 0, 0, 1, 1, 0, 1, 1
0.003305760000000, 0, 0, 0, 0, 1, 1, 0, 1
0.003327080000000, 0, 0, 0, 0, 0, 0, 0, 1
