Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 0, 1, 0, 1, 0, 0, 0, 0
0.000014800000000, 1, 0, 0, 1, 0, 0, 0, 0
0.000036100000000, 0, 0, 0, 1, 0, 0, 0, 0
0.000057450000000, 1, 1, 1, 0, 0, 0, 0, 0
0.000078800000000, 0, 1, 1, 0, 0, 0, 0, 0
0.000100100000000, 1, 0, 1, 0, 0, 0, 0, 0
0.000121450000000, 0, 0, 1, 0, 0, 0, 0, 0
0.000164100000000, 1, 1, 0, 0, 0, 0, 0, 0
0.000185450000000, 0, 1, 0, 0, 0, 0, 0, 0
0.000228100000000, 1, 0, 0, 0, 0, 0, 0, 0
0.000462800000000, 0, 1, 0, 0, 0, 0, 0, 0
0.000505450000000, 1, 1, 0, 0, 0, 0, 0, 0
0.000526800000000, 0, 0, 1, 0, 0, 0, 0, 0
0.000569450000000, 1, 0, 1, 0, 0, 0, 0, 0
0.000590800000000, 0, 1, 1, 0, 0, 0, 0, 0
0.000612100000000, 1, 1, 1, 0, 0, 0, 0, 0
0.000633450000000, 0, 0, 0, 1, 0, 0, 0, 0
0.000654800000000, 1, 0, 0, 1, 0, 0, 0, 0
0.000676100000000, 0, 1, 0, 1, 0, 0, 0, 0
0.000697450000000, 1, 1, 0, 1, 0, 0, 0, 0
0.000718800000000, 1, 0, 1, 1, 0, 0, 0, 0
0.000740100000000, 0, 1, 1, 1, 0, 0, 0, 0
0.000761450000000, 1, 1, 1, 1, 0, 0, 0, 0
0.000782800000000, 1, 0, 0, 0, 1, 0, 0, 0
0.000804100000000, 1, 1, 0, 0, 1, 0, 0, 0
0.000825450000000, 0, 0, 1, 0, 1, 0, 0, 0
0.000846800000000, 0, 1, 1, 0, 1, 0, 0, 0
0.000868100000000, 0, 0, 0, 1, 1, 0, 0, 0
0.000889450000000, 1, 0, 0, 1, 1, 0, 0, 0
0.000910800000000, 1, 1, 0, 1, 1, 0, 0, 0
0.000932100000000, 1, 0, 1, 1, 1, 0, 0, 0
0.000953450000000, 1, 1, 1, 1, 1, 0, 0, 0
0.000974800000000, 1, 0, 0, 0, 0, 1, 0, 0
0.000996100000000, 0, 0, 1, 0, 0, 1, 0, 0
0.001017450000000, 0, 1, 1, 0, 0, 1, 0, 0
0.001038800000000, 0, 0, 0, 1, 0, 1, 0, 0
0.001060100000000, 0, 1, 0, 1, 0, 1, 0, 0
0.001081450000000, 1, 0, 1, 1, 0, 1, 0, 0
